"doy","pond","site_id","vertical_m","odo_mgL","odo_sat","temp_c","barometer","sp_cond","tds","chla_RFU","chla_ugL","pc_RFU","pc_ugL"
150,"B","B1",0.01,12.48,145.1,22.8333333333333,737.9,270.9,176,0.67,2.91,0.1,-0.04
150,"B","B1",0.014,12.48,145.1,22.8333333333333,737.9,270.8,176,0.67,2.91,0.1,-0.05
150,"B","B1",0.026,12.48,145.1,22.8333333333333,737.9,270.8,176,0.67,2.92,0.09,-0.05
150,"B","B1",0.041,12.47,145.1,22.8333333333333,737.9,270.8,176,0.67,2.91,0.1,-0.05
150,"B","B1",0.06,12.47,145,22.8333333333333,737.9,270.8,176,0.67,2.94,0.09,-0.05
150,"B","B1",0.101,12.47,145,22.8333333333333,737.9,270.8,176,0.68,2.98,0.1,-0.05
150,"B","B1",0.119,12.47,145,22.8333333333333,737.9,270.8,176,0.69,3,0.1,-0.04
150,"B","B1",0.136,12.47,145,22.8333333333333,737.9,270.7,176,0.71,3.08,0.1,-0.05
150,"B","B1",0.16,12.47,145,22.8333333333333,737.9,270.7,176,0.72,3.13,0.1,-0.05
150,"B","B1",0.212,12.47,145,22.8333333333333,737.9,270.7,176,0.73,3.18,0.1,-0.05
150,"B","B1",0.229,12.46,145,22.8333333333333,737.9,270.7,176,0.74,3.2,0.1,-0.05
150,"B","B1",0.243,12.47,145,22.8888888888889,737.9,270.7,176,0.76,3.29,0.1,-0.05
150,"B","B1",0.258,12.47,145.1,22.8888888888889,737.9,270.7,176,0.76,3.29,0.09,-0.05
150,"B","B1",0.268,12.47,145.1,22.8888888888889,737.9,270.6,176,0.76,3.29,0.09,-0.05
150,"B","B1",0.277,12.47,145.1,22.8888888888889,737.9,270.6,176,0.77,3.33,0.1,-0.05
150,"B","B1",0.297,12.47,145.1,22.8888888888889,737.9,270.6,176,0.79,3.41,0.09,-0.05
150,"B","B1",0.306,12.47,145.2,22.8888888888889,737.9,270.6,176,0.8,3.43,0.1,-0.05
150,"B","B1",0.31,12.48,145.2,22.8888888888889,737.9,270.5,176,0.8,3.45,0.09,-0.05
150,"B","B1",0.324,12.48,145.2,22.8888888888889,737.9,270.5,176,0.81,3.49,0.1,-0.05
150,"B","B1",0.331,12.48,145.2,22.8888888888889,737.9,270.5,176,0.84,3.59,0.09,-0.05
150,"B","B1",0.335,12.48,145.3,22.8888888888889,737.9,270.5,176,0.85,3.65,0.1,-0.05
150,"B","B1",0.344,12.49,145.3,22.8888888888889,737.9,270.5,176,0.86,3.69,0.09,-0.05
150,"B","B1",0.365,12.49,145.3,22.8888888888889,737.9,270.5,176,0.87,3.73,0.09,-0.05
150,"B","B1",0.378,12.49,145.3,22.8888888888889,737.9,270.4,176,0.9,3.83,0.1,-0.05
