doy,pond,site_type,site_id,p_foliosus,p_nodosus,depth_m,canopy_m,canopy_flag,biomass_g,biomass_flag
129,F,Canopy,F19,1,0,1.85,0.5,,NA,
129,F,Canopy,F20,1,0,1.87,0.8,,NA,
129,F,Canopy,F21,1,1,1.5,0.9,,NA,
143,F,Canopy,F19,1,0,2.1,1,,NA,
143,F,Canopy,F20,1,0,1.9,1,,NA,
143,F,Canopy,F21,1,1,1.6,1,,NA,
143,B,Canopy,B19,0,0,2.15,NA,a,NA,
143,B,Canopy,B20,1,0,1.9,NA,a,NA,
143,B,Canopy,B21,0,0,1.6,NA,a,NA,
150,F,Canopy,F19,1,0,2,1.5,,NA,
150,F,Canopy,F20,1,0,1.95,1.8,,NA,
150,F,Canopy,F21,1,1,1.55,1.5,,NA,
150,B,Canopy,B19,1,0,2.1,1.6,,NA,
150,B,Canopy,B20,1,0,1.95,1.7,,NA,
150,B,Canopy,B21,1,1,1.55,1.4,,NA,
157,F,Canopy,F19,1,0,1.8,1.5,,NA,
157,F,Canopy,F20,1,0,1.8,1.55,,NA,
157,F,Canopy,F21,1,1,1.4,1.4,,NA,
157,B,Canopy,B19,1,1,2,1.15,,NA,
157,B,Canopy,B20,1,0,1.8,1.7,,NA,
157,B,Canopy,B21,1,1,1.4,1.25,,NA,
157,F,Biomass,F1,1,1,NA,NA,,1.5,
157,F,Biomass,F2,1,1,NA,NA,,9.5,
157,F,Biomass,F3,1,1,NA,NA,,4.5,
157,F,Biomass,F4,1,1,NA,NA,,3.8,
157,F,Biomass,F5,1,0,NA,NA,,7,
157,F,Biomass,F6,1,1,NA,NA,,13.1,
157,F,Biomass,F7,1,1,NA,NA,,18,
157,F,Biomass,F8,1,0,NA,NA,,7.7,
157,F,Biomass,F9,1,1,NA,NA,,9.9,
157,F,Biomass,F10,1,1,NA,NA,,15.8,
157,F,Biomass,F11,1,0,NA,NA,,4.7,
157,F,Biomass,F12,1,1,NA,NA,,10.5,
157,F,Biomass,F13,1,1,NA,NA,,1.5,
157,F,Biomass,F14,1,0,NA,NA,,7.7,
157,F,Biomass,F15,1,1,NA,NA,,4.9,
157,F,Biomass,F16,0,1,NA,NA,,10.6,
157,F,Biomass,F17,1,1,NA,NA,,19.6,
157,F,Biomass,F18,1,1,NA,NA,,3.3,
157,B,Biomass,B1,1,1,NA,NA,,0.9,
157,B,Biomass,B2,1,1,NA,NA,,5.6,
157,B,Biomass,B3,1,1,NA,NA,,2.1,
157,B,Biomass,B4,0,1,NA,NA,,4.3,
157,B,Biomass,B5,1,0,NA,NA,,20.6,
157,B,Biomass,B6,0,1,NA,NA,,4.6,
157,B,Biomass,B7,0,1,NA,NA,,1.8,
157,B,Biomass,B8,1,0,NA,NA,,23.6,
157,B,Biomass,B9,1,1,NA,NA,,3.6,
157,B,Biomass,B10,1,1,NA,NA,,3.8,
157,B,Biomass,B11,1,0,NA,NA,,26.2,
157,B,Biomass,B12,0,1,NA,NA,,4,
157,B,Biomass,B13,1,1,NA,NA,,2.2,
157,B,Biomass,B14,1,0,NA,NA,,26.2,
157,B,Biomass,B15,1,1,NA,NA,,4.1,
157,B,Biomass,B16,0,1,NA,NA,,4.1,
157,B,Biomass,B17,0,1,NA,NA,,4,
157,B,Biomass,B18,0,1,NA,NA,,2.1,
166,F,Canopy,F19,1,0,1.75,1.5,,NA,
166,F,Canopy,F20,1,0,1.63,1.52,,NA,
166,F,Canopy,F21,1,1,1.25,1.25,,NA,
166,B,Canopy,B19,1,1,1.8,1.5,,NA,
166,B,Canopy,B20,1,0,1.7,1.7,,NA,
166,B,Canopy,B21,1,1,1.3,1.2,,NA,
171,F,Canopy,F19,1,0,1.7,1.5,,NA,
171,F,Canopy,F20,1,0,1.6,1.5,,NA,
171,F,Canopy,F21,1,1,1.2,1.2,,NA,
171,B,Canopy,B19,1,1,1.8,1.5,,NA,
171,B,Canopy,B20,1,0,1.6,1.6,,NA,
171,B,Canopy,B21,1,1,1.3,1.3,,NA,
171,F,Biomass,F1,1,1,NA,NA,,3.6,
171,F,Biomass,F2,1,0,NA,NA,,9.1,
171,F,Biomass,F3,1,1,NA,NA,,3.2,
171,F,Biomass,F4,1,1,NA,NA,,31.2,
171,F,Biomass,F5,1,0,NA,NA,,39.4,
171,F,Biomass,F6,1,1,NA,NA,,18.8,
171,F,Biomass,F7,1,1,NA,NA,,31,
171,F,Biomass,F8,1,0,NA,NA,,32.3,
171,F,Biomass,F9,1,1,NA,NA,,8.4,
171,F,Biomass,F10,1,1,NA,NA,,28.3,
171,F,Biomass,F11,1,0,NA,NA,,13.6,
171,F,Biomass,F12,1,0,NA,NA,,14.7,
171,F,Biomass,F13,1,1,NA,NA,,9.9,
171,F,Biomass,F14,1,0,NA,NA,,23,
171,F,Biomass,F15,0,1,NA,NA,,28.1,
171,F,Biomass,F16,0,1,NA,NA,,59.2,
171,F,Biomass,F17,0,1,NA,NA,,38.1,
171,F,Biomass,F18,0,1,NA,NA,,27.8,
171,B,Biomass,B1,0,1,NA,NA,,11.6,
171,B,Biomass,B2,0,1,NA,NA,,20.3,
171,B,Biomass,B3,0,1,NA,NA,,35,
171,B,Biomass,B4,0,1,NA,NA,,10.7,
