DATE,TIME,SITE,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
5/29/2020,10:32:02 AM,F1,89.99999 °,179.99998 °,738,275,292.8,0.14,294.6,190,71.3,-2.1,-2.1,0.41,1.88,0.4,0.15,106.9,9.37,110.1,8.86,-174.7,0.005,0.004,0.005
5/29/2020,10:32:02 AM,F1,89.99999 °,179.99998 °,738,275.2,292.9,0.14,294.6,190,71.3,-2.1,-2.1,0.41,1.91,0.37,0.13,108.8,9.53,112,8.87,-174.9,0.005,0.004,0.004
5/29/2020,10:32:02 AM,F1,89.99999 °,179.99998 °,738,275.2,292.9,0.14,294.6,190,71.3,-2.1,-2.1,0.41,1.91,0.37,0.13,108.8,9.53,112,8.87,-175,0.005,0.004,0.005
5/29/2020,10:32:02 AM,F1,89.99999 °,179.99998 °,738,275.2,292.9,0.14,294.6,190,71.3,-2.1,-2.1,0.39,1.83,0.37,0.13,109.4,9.59,112.7,8.87,-175,0.005,0.004,0.006
5/29/2020,10:32:03 AM,F1,89.99999 °,179.99998 °,738,275.1,292.7,0.14,294.4,190,71.3,-2.1,-2.1,0.4,1.85,0.37,0.13,110.2,9.66,113.5,8.87,-175.1,0.005,0.004,0.004
5/29/2020,10:32:03 AM,F1,89.99999 °,179.99998 °,738,275.1,292.6,0.14,294.3,190,71.3,-2.1,-2.1,0.39,1.83,0.36,0.12,110.6,9.69,113.9,8.87,-175.1,0.005,0.004,0.005
5/29/2020,10:32:03 AM,F1,89.99999 °,179.99998 °,738,275.1,292.6,0.14,294.3,190,71.3,-2.1,-2.1,0.39,1.82,0.36,0.12,111.4,9.76,114.7,8.87,-175.1,0.005,0.004,0.006
5/29/2020,10:32:03 AM,F1,89.99999 °,179.99998 °,738,275,292.6,0.14,294.3,190,71.3,-2.1,-2.1,0.38,1.8,0.35,0.12,116,10.16,119.4,8.87,-175.1,0.005,0.004,0.004
5/29/2020,10:32:04 AM,F1,89.99999 °,179.99998 °,737.9,275,292.5,0.14,294.2,190,71.3,-2.1,-2.1,0.39,1.8,0.34,0.11,116.8,10.23,120.3,8.87,-175,0.005,0.004,0.004
5/29/2020,10:32:04 AM,F1,89.99999 °,179.99998 °,737.9,274.8,292.4,0.14,294.1,190,71.3,-2.1,-2.1,0.38,1.8,0.34,0.11,117.7,10.31,121.2,8.87,-175.1,0.005,0.004,0.004
5/29/2020,10:32:04 AM,F1,89.99999 °,179.99998 °,737.9,274.7,292.3,0.14,294,190,71.3,-2.1,-2.1,0.39,1.81,0.33,0.1,118.5,10.38,122.1,8.87,-175.1,0.005,0.004,0.004
5/29/2020,10:32:04 AM,F1,89.99999 °,179.99998 °,737.9,274.6,292.2,0.14,293.9,190,71.3,-2.1,-2.1,0.39,1.82,0.33,0.1,119.4,10.46,123,8.87,-175.1,0.005,0.004,0.004
5/29/2020,10:32:05 AM,F1,89.99999 °,179.99998 °,738,274.5,292.1,0.14,293.8,190,71.3,-2.1,-2.1,0.4,1.86,0.32,0.1,119.8,10.5,123.4,8.87,-175.1,0.005,0.004,0.005
5/29/2020,10:32:05 AM,F1,89.99999 °,179.99998 °,738,274.3,292,0.14,293.7,190,71.3,-2.1,-2.1,0.39,1.82,0.32,0.09,120.3,10.55,123.9,8.87,-175.2,0.005,0.004,0.006
5/29/2020,10:32:05 AM,F1,89.99999 °,179.99998 °,738,274.2,291.9,0.14,293.6,190,71.3,-2.1,-2.1,0.39,1.84,0.3,0.08,121.1,10.61,124.7,8.87,-175.2,0.005,0.004,0.004
5/29/2020,10:32:05 AM,F1,89.99999 °,179.99998 °,738,274.2,291.9,0.14,293.6,190,71.3,-2.1,-2.1,0.4,1.87,0.3,0.08,121.7,10.67,125.3,8.87,-175.2,0.005,0.004,0.005
5/29/2020,10:32:06 AM,F1,89.99999 °,179.99998 °,738,274.1,291.8,0.14,293.6,190,71.3,-2.1,-2.1,0.39,1.84,0.3,0.08,122.8,10.76,126.4,8.87,-175.2,0.005,0.004,0.006
5/29/2020,10:32:06 AM,F1,89.99999 °,179.99998 °,738,274.1,291.8,0.14,293.5,190,71.3,-2.1,-2.1,0.38,1.78,0.3,0.08,123.5,10.83,127.2,8.87,-175.2,0.005,0.004,0.004
5/29/2020,10:32:06 AM,F1,89.99999 °,179.99998 °,738,274,291.8,0.14,293.5,190,71.3,-2.1,-2.1,0.36,1.72,0.28,0.07,124.3,10.89,128,8.87,-175.3,0.005,0.004,0.004
5/29/2020,10:32:06 AM,F1,89.99999 °,179.99998 °,738,274,291.8,0.14,293.6,190,71.2,-2.1,-2.1,0.35,1.66,0.27,0.06,124.3,10.9,128,8.87,-175.3,0.005,0.004,0.006
5/29/2020,10:32:07 AM,F1,89.99999 °,179.99998 °,738,274,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.33,1.6,0.26,0.06,124.3,10.91,128.1,8.87,-175.3,0.005,0.004,0.003
5/29/2020,10:32:07 AM,F1,89.99999 °,179.99998 °,738,274,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.61,0.26,0.06,124.5,10.92,128.2,8.87,-175.3,0.005,0.004,0.004
5/29/2020,10:32:07 AM,F1,89.99999 °,179.99998 °,738,274,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.33,1.58,0.25,0.05,124.9,10.95,128.6,8.87,-175.3,0.005,0.004,0.005
5/29/2020,10:32:07 AM,F1,89.99999 °,179.99998 °,738,274,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.32,1.55,0.25,0.05,125.3,10.99,129,8.87,-175.3,0.005,0.004,0.004
5/29/2020,10:32:08 AM,F1,89.99999 °,179.99998 °,737.9,274,291.9,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.52,0.25,0.05,125.7,11.03,129.5,8.87,-175.3,0.005,0.004,0.004
5/29/2020,10:32:08 AM,F1,89.99999 °,179.99998 °,737.9,274,291.9,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.51,0.25,0.05,126.1,11.06,129.9,8.87,-175.3,0.005,0.004,0.004
5/29/2020,10:32:08 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.51,0.24,0.05,126.5,11.1,130.3,8.87,-175.3,0.006,0.004,0.005
5/29/2020,10:32:08 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.51,0.22,0.03,126.9,11.13,130.7,8.87,-175.3,0.006,0.004,0.004
5/29/2020,10:32:09 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.5,0.22,0.03,127.1,11.15,130.9,8.87,-175.3,0.005,0.004,0.004
5/29/2020,10:32:09 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.3,1.48,0.21,0.03,127.4,11.18,131.2,8.87,-175.3,0.005,0.004,0.006
5/29/2020,10:32:09 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.3,1.49,0.2,0.02,127.8,11.21,131.6,8.87,-175.3,0.005,0.004,0.003
5/29/2020,10:32:09 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.3,1.49,0.2,0.02,128.1,11.24,131.9,8.87,-175.3,0.005,0.004,0.005
5/29/2020,10:32:10 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.49,0.19,0.01,128.4,11.26,132.2,8.87,-175.3,0.006,0.004,0.016
5/29/2020,10:32:10 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.3,1.48,0.19,0.01,128.6,11.28,132.5,8.87,-175.3,0.006,0.004,0.021
5/29/2020,10:32:10 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.3,1.48,0.17,0,128.9,11.31,132.7,8.87,-175.3,0.006,0.004,0.028
5/29/2020,10:32:10 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.49,0.17,0,129.1,11.33,133,8.87,-175.3,0.006,0.005,0.054
5/29/2020,10:32:11 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.52,0.16,0,129.3,11.34,133.1,8.87,-175.4,0.007,0.005,0.068
5/29/2020,10:32:11 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.53,0.15,-0.01,133.5,11.71,137.5,8.87,-175.4,0.008,0.005,0.08
5/29/2020,10:32:11 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.32,1.53,0.14,-0.02,134,11.75,138,8.87,-175.4,0.009,0.006,0.103
5/29/2020,10:32:11 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.53,0.14,-0.02,134.1,11.77,138.2,8.87,-175.4,0.01,0.007,0.118
5/29/2020,10:32:12 AM,F1,89.99999 °,179.99998 °,737.9,274.1,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.52,0.13,-0.03,134.5,11.8,138.5,8.87,-175.4,0.011,0.008,0.134
5/29/2020,10:32:12 AM,F1,89.99999 °,179.99998 °,737.9,274,292,0.14,293.7,190,71.2,-2.1,-2.1,0.31,1.52,0.13,-0.03,134.8,11.83,138.8,8.87,-175.4,0.012,0.008,0.153
5/29/2020,10:32:12 AM,F1,89.99999 °,179.99998 °,737.9,274,292,0.14,293.7,190,71.2,-2.1,-2.1,0.32,1.54,0.12,-0.03,135.2,11.87,139.3,8.87,-175.4,0.015,0.01,0.195
5/29/2020,10:32:12 AM,F1,89.99999 °,179.99998 °,737.9,274,292,0.14,293.7,190,71.2,-2.1,-2.1,0.32,1.54,0.1,-0.05,135.7,11.91,139.8,8.87,-175.4,0.016,0.012,0.214
5/29/2020,10:32:13 AM,F1,89.99999 °,179.99998 °,738,274,291.9,0.14,293.7,190,71.2,-2.1,-2.1,0.32,1.55,0.09,-0.06,135.9,11.93,140,8.87,-175.4,0.018,0.013,0.233
5/29/2020,10:32:13 AM,F1,89.99999 °,179.99998 °,738,273.9,291.9,0.14,293.7,190,71.2,-2.1,-2.1,0.32,1.56,0.08,-0.06,136.2,11.95,140.3,8.87,-175.4,0.022,0.016,0.264
5/29/2020,10:32:13 AM,F1,89.99999 °,179.99998 °,738,273.9,291.9,0.14,293.7,190,71.2,-2.1,-2.1,0.32,1.55,0.08,-0.06,136.6,11.98,140.6,8.87,-175.4,0.024,0.017,0.275
5/29/2020,10:32:13 AM,F1,89.99999 °,179.99998 °,738,273.9,291.9,0.14,293.7,190,71.2,-2.1,-2.1,0.32,1.56,0.03,-0.09,136.7,12,140.8,8.87,-175.4,0.026,0.019,0.287
5/29/2020,10:32:14 AM,F1,89.99999 °,179.99998 °,738,273.9,291.9,0.14,293.7,190,71.2,-2.1,-2.1,0.33,1.58,0.01,-0.1,137,12.03,141.1,8.87,-175.4,0.031,0.022,0.306
5/29/2020,10:32:14 AM,F1,89.99999 °,179.99998 °,738,273.9,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.33,1.6,0,-0.11,137,12.03,141.1,8.87,-175.4,0.033,0.023,0.314
5/29/2020,10:32:14 AM,F1,89.99999 °,179.99998 °,738,273.8,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.61,-0.01,-0.12,137.1,12.04,141.2,8.87,-175.4,0.035,0.025,0.325
5/29/2020,10:32:14 AM,F1,89.99999 °,179.99998 °,738,273.8,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.62,-0.04,-0.14,137.2,12.05,141.3,8.87,-175.4,0.04,0.028,0.355
5/29/2020,10:32:15 AM,F1,89.99999 °,179.99998 °,738,273.8,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.64,-0.05,-0.14,137.5,12.07,141.6,8.87,-175.4,0.043,0.03,0.373
5/29/2020,10:32:15 AM,F1,89.99999 °,179.99998 °,738,273.8,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.64,-0.07,-0.15,137.7,12.08,141.8,8.87,-175.4,0.046,0.032,0.386
5/29/2020,10:32:15 AM,F1,89.99999 °,179.99998 °,738,273.8,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.63,-0.08,-0.16,137.8,12.1,142,8.87,-175.4,0.049,0.035,0.4
5/29/2020,10:32:15 AM,F1,89.99999 °,179.99998 °,738,273.7,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.63,-0.09,-0.17,138,12.11,142.1,8.87,-175.4,0.055,0.039,0.433
5/29/2020,10:32:16 AM,F1,89.99999 °,179.99998 °,738,273.7,291.9,0.14,293.6,190,71.2,-2.1,-2.1,0.34,1.64,-0.1,-0.17,138.1,12.13,142.3,8.87,-175.4,0.058,0.041,0.447
5/29/2020,10:32:16 AM,F1,89.99999 °,179.99998 °,738,273.7,291.9,0.14,293.6,190,71.1,-2.1,-2.1,0.34,1.63,-0.11,-0.18,138.3,12.14,142.4,8.87,-175.4,0.062,0.044,0.467
5/29/2020,10:32:16 AM,F1,89.99999 °,179.99998 °,738,273.7,291.9,0.14,293.6,190,71.1,-2.1,-2.1,0.34,1.62,-0.12,-0.19,138.4,12.15,142.5,8.87,-175.4,0.069,0.049,0.509
5/29/2020,10:32:16 AM,F1,89.99999 °,179.99998 °,738,273.6,291.8,0.14,293.6,190,71.1,-2.1,-2.1,0.34,1.63,-0.13,-0.19,138.5,12.16,142.6,8.87,-175.4,0.073,0.051,0.522
5/29/2020,10:32:17 AM,F1,89.99999 °,179.99998 °,737.9,273.6,291.8,0.14,293.6,190,71.1,-2.1,-2.1,0.34,1.63,-0.14,-0.2,138.6,12.17,142.7,8.87,-175.5,0.077,0.054,0.533
5/29/2020,10:32:17 AM,F1,89.99999 °,179.99998 °,737.9,273.5,291.8,0.14,293.6,190,71.1,-2.1,-2.1,0.34,1.63,-0.13,-0.2,138.7,12.18,142.8,8.87,-175.5,0.085,0.06,0.553
5/29/2020,10:32:17 AM,F1,89.99999 °,179.99998 °,737.9,273.5,291.8,0.14,293.6,190,71.1,-2.1,-2.1,0.34,1.63,-0.13,-0.2,138.8,12.19,142.9,8.87,-175.5,0.089,0.063,0.564
