DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
6/5/2020,11:42:09 AM,B1,,0.00000 °,0.00000 °,732.2,301,279.3,0.13,276.9,182,84.3,3322.4,-4,-4,0.17,0.94,-0.38,-0.36,125.9,9.67,9.08,-190.2,-0.007,-0.005,-0.005
6/5/2020,11:42:09 AM,B1,,0.00000 °,0.00000 °,732.2,300.9,279.2,0.13,276.8,181,84.3,3323.4,-4,-4,0.17,0.94,-0.38,-0.36,126,9.67,9.08,-190.1,-0.007,-0.005,-0.006
6/5/2020,11:42:09 AM,B1,,0.00000 °,0.00000 °,732.2,300.9,279.2,0.13,276.8,181,84.3,3323.7,-4,-4,0.17,0.94,-0.38,-0.36,126.1,9.68,9.08,-190.1,-0.007,-0.005,-0.005
6/5/2020,11:42:09 AM,B1,,0.00000 °,0.00000 °,732.3,300.8,279.2,0.13,276.8,181,84.3,3324,-4,-4,0.16,0.93,-0.38,-0.36,126.1,9.68,9.08,-190.1,-0.007,-0.005,-0.005
6/5/2020,11:42:10 AM,B1,,0.00000 °,0.00000 °,732.3,300.8,279.1,0.13,276.8,181,84.3,3324.2,-4,-4,0.17,0.94,-0.38,-0.35,126.1,9.68,9.08,-190.1,-0.007,-0.005,-0.005
6/5/2020,11:42:10 AM,B1,,0.00000 °,0.00000 °,732.3,300.8,279.1,0.13,276.7,181,84.3,3324.7,-4,-4,0.16,0.92,-0.38,-0.35,126.2,9.69,9.08,-190.1,-0.007,-0.005,-0.005
6/5/2020,11:42:10 AM,B1,,0.00000 °,0.00000 °,732.3,300.7,279.1,0.13,276.7,181,84.3,3325.2,-4,-4,0.16,0.9,-0.37,-0.35,126.2,9.69,9.08,-190.1,-0.007,-0.005,-0.005
6/5/2020,11:42:10 AM,B1,,0.00000 °,0.00000 °,732.3,300.7,279,0.13,276.7,181,84.3,3325.9,-4,-4,0.16,0.92,-0.38,-0.35,126.2,9.69,9.07,-190,-0.007,-0.005,-0.005
6/5/2020,11:42:11 AM,B1,,0.00000 °,0.00000 °,732.3,300.6,279,0.13,276.6,181,84.3,3326.7,-4,-4,0.16,0.91,-0.37,-0.35,126.3,9.69,9.07,-190,-0.007,-0.005,-0.005
6/5/2020,11:42:11 AM,B1,,0.00000 °,0.00000 °,732.3,300.5,278.9,0.13,276.6,181,84.3,3327.5,-4,-4,0.16,0.92,-0.38,-0.35,126.3,9.7,9.07,-190,-0.007,-0.005,-0.005
6/5/2020,11:42:11 AM,B1,,0.00000 °,0.00000 °,732.3,300.5,278.9,0.13,276.5,181,84.3,3328.2,-4,-4,0.16,0.92,-0.38,-0.35,126.3,9.7,9.07,-190,-0.007,-0.005,-0.004
6/5/2020,11:42:11 AM,B1,,0.00000 °,0.00000 °,732.3,300.4,278.8,0.13,276.4,181,84.3,3329.1,-4,-4,0.16,0.9,-0.38,-0.36,126.4,9.7,9.07,-190,-0.007,-0.005,-0.005
6/5/2020,11:42:12 AM,B1,,0.00000 °,0.00000 °,732.3,300.3,278.7,0.13,276.4,181,84.3,3329.9,-4,-4,0.16,0.9,-0.38,-0.36,126.4,9.7,9.07,-189.9,-0.007,-0.005,0.002
6/5/2020,11:42:12 AM,B1,,0.00000 °,0.00000 °,732.3,300.3,278.7,0.13,276.4,181,84.3,3330.3,-4,-4,0.15,0.88,-0.38,-0.36,126.4,9.71,9.07,-189.9,-0.007,-0.005,0.01
6/5/2020,11:42:12 AM,B1,,0.00000 °,0.00000 °,732.3,300.2,278.7,0.13,276.3,181,84.3,3331.2,-4,-4,0.15,0.87,-0.38,-0.35,126.4,9.71,9.07,-189.9,-0.007,-0.005,0.017
