DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Resistivity (ohms-cm),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
6/5/2020,10:10:45 AM,F1,,0.00000 °,0.00000 °,731.7,275.2,261.1,0.12,259.6,170,82.1,3633.5,-3.6,-3.6,0.36,1.69,-0.2,-0.24,150.2,11.78,9.12,-192.4,0.005,0.003,0.003
6/5/2020,10:10:45 AM,F1,,0.00000 °,0.00000 °,731.7,275.2,261.1,0.12,259.6,170,82.1,3633.5,-3.6,-3.6,0.36,1.69,-0.2,-0.24,150.2,11.78,9.12,-192.4,0.005,0.003,0.003
6/5/2020,10:10:45 AM,F1,,0.00000 °,0.00000 °,731.7,275.4,261.2,0.12,259.7,170,82.1,3631.6,-3.6,-3.6,0.37,1.75,-0.2,-0.24,150.4,11.8,9.12,-192.4,0.005,0.003,0.002
6/5/2020,10:10:45 AM,F1,,0.00000 °,0.00000 °,731.6,275.4,261.2,0.12,259.7,170,82.1,3631.3,-3.6,-3.6,0.37,1.74,-0.19,-0.23,150.4,11.8,9.12,-192.3,0.005,0.003,0.002
6/5/2020,10:10:46 AM,F1,,0.00000 °,0.00000 °,731.6,275.4,261.2,0.12,259.7,170,82.1,3631.2,-3.6,-3.6,0.37,1.76,-0.19,-0.24,150.5,11.8,9.12,-192.3,0.005,0.004,0.004
6/5/2020,10:10:46 AM,F1,,0.00000 °,0.00000 °,731.6,275.4,261.3,0.12,259.7,170,82.1,3631.2,-3.6,-3.6,0.37,1.74,-0.19,-0.23,150.5,11.81,9.12,-192.3,0.005,0.004,0.005
6/5/2020,10:10:46 AM,F1,,0.00000 °,0.00000 °,731.6,275.4,261.3,0.12,259.7,170,82.1,3631.2,-3.6,-3.6,0.37,1.74,-0.19,-0.24,150.6,11.81,9.12,-192.3,0.005,0.004,0.004
6/5/2020,10:10:46 AM,F1,,0.00000 °,0.00000 °,731.7,275.4,261.2,0.12,259.7,170,82.1,3631.3,-3.6,-3.6,0.37,1.75,-0.19,-0.23,150.6,11.82,9.12,-192.3,0.005,0.004,0.004
6/5/2020,10:10:47 AM,F1,,0.00000 °,0.00000 °,731.7,275.4,261.2,0.12,259.7,170,82.1,3631.3,-3.6,-3.6,0.37,1.73,-0.19,-0.23,150.7,11.82,9.12,-192.3,0.005,0.004,0.006
6/5/2020,10:10:47 AM,F1,,0.00000 °,0.00000 °,731.7,275.4,261.2,0.12,259.7,170,82.1,3631.5,-3.6,-3.6,0.36,1.72,-0.19,-0.23,150.7,11.83,9.12,-192.3,0.005,0.004,0.003
