DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
7/17/2020,9:56:30 AM,F1,,89.99999 °,179.99998 °,736.1,293,283.4,0.13,282.4,184,80.2,-3.3,-3.3,0.29,1.43,-0.24,-0.27,93.8,7.5,96.9,16.21,-609.7,0.002,0.002,0.002
7/17/2020,9:56:30 AM,F1,,89.99999 °,179.99998 °,736.1,293,283.4,0.13,282.4,184,80.2,-3.3,-3.3,0.29,1.43,-0.24,-0.27,93.8,7.5,96.9,16.21,-609.7,0.002,0.002,0.002
7/17/2020,9:56:30 AM,F1,,89.99999 °,179.99998 °,736.1,292.9,283.4,0.13,282.4,184,80.2,-3.3,-3.3,0.29,1.45,-0.25,-0.27,93.7,7.5,96.8,16.21,-609.7,0.002,0.002,0
7/17/2020,9:56:30 AM,F1,,89.99999 °,179.99998 °,736.1,292.8,283.4,0.13,282.4,184,80.2,-3.3,-3.3,0.3,1.46,-0.24,-0.27,93.7,7.5,96.8,16.21,-609.7,0.002,0.002,0.001
7/17/2020,9:56:31 AM,F1,,89.99999 °,179.99998 °,736.1,292.8,283.3,0.13,282.3,184,80.1,-3.3,-3.3,0.3,1.48,-0.24,-0.27,93.7,7.49,96.7,16.21,-609.7,0.002,0.002,0.002
7/17/2020,9:56:31 AM,F1,,89.99999 °,179.99998 °,736.1,292.7,283.3,0.13,282.3,184,80.1,-3.3,-3.3,0.31,1.49,-0.24,-0.27,93.7,7.49,96.7,16.21,-609.7,0.002,0.002,0.001
7/17/2020,9:56:31 AM,F1,,89.99999 °,179.99998 °,736.1,292.6,283.3,0.13,282.3,184,80.1,-3.3,-3.3,0.31,1.52,-0.24,-0.27,93.7,7.49,96.7,16.21,-609.7,0.002,0.002,0
7/17/2020,9:56:31 AM,F1,,89.99999 °,179.99998 °,736.1,292.6,283.3,0.13,282.3,184,80.1,-3.3,-3.3,0.32,1.53,-0.25,-0.27,93.6,7.49,96.7,16.21,-609.7,0.002,0.002,0.001
7/17/2020,9:56:32 AM,F1,,89.99999 °,179.99998 °,736.1,292.5,283.2,0.13,282.2,184,80.1,-3.3,-3.3,0.32,1.54,-0.26,-0.28,93.6,7.49,96.6,16.21,-609.7,0.002,0.002,0.002
7/17/2020,9:56:32 AM,F1,,89.99999 °,179.99998 °,736.1,292.4,283.1,0.13,282.1,184,80.1,-3.3,-3.3,0.32,1.54,-0.26,-0.28,93.6,7.49,96.6,16.21,-609.7,0.002,0.002,0
