DATE,TIME,SITE,DATA ID,GPS Latitude (°),GPS Longitude (°),Barometer (mmHg),Cond (µS/cm),Sp Cond (µS/cm),Sal (psu),nLFCond (µS/cm),TDS (mg/L),Temp (°F),Sigma-T (s t),Sigma (s),Chlorophyll (RFU),Chlorophyll (µg/L),PC (RFU),PC (ug/L),ODO (% Sat),ODO (mg/L),ODO (% LocalB),pH,pH (mV),Pressure (psi a),Depth (m),Vertical Position (m)
7/24/2020,10:50:32 AM,B1,,89.99999 °,179.99998 °,737,357.6,341.5,0.16,339.7,222,81.4,-3.5,-3.5,0.59,2.6,0.19,0.01,89.6,7.07,92.4,16.19,-609.7,0.002,0.001,0.001
7/24/2020,10:50:32 AM,B1,,89.99999 °,179.99998 °,737,358.3,342.2,0.16,340.5,222,81.4,-3.5,-3.5,0.58,2.58,0.17,0,89.5,7.07,92.3,16.19,-609.7,0.002,0.001,0.003
7/24/2020,10:50:32 AM,B1,,89.99999 °,179.99998 °,737,358.4,342.4,0.16,340.7,223,81.4,-3.5,-3.5,0.58,2.59,0.16,-0.01,89.5,7.06,92.2,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:32 AM,B1,,89.99999 °,179.99998 °,737,358.7,342.7,0.16,341,223,81.4,-3.5,-3.5,0.58,2.58,0.16,-0.01,89.4,7.06,92.2,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:33 AM,B1,,89.99999 °,179.99998 °,737,359,343,0.16,341.3,223,81.4,-3.5,-3.5,0.58,2.59,0.16,-0.01,89.4,7.06,92.2,16.19,-609.7,0.002,0.001,0.003
7/24/2020,10:50:33 AM,B1,,89.99999 °,179.99998 °,737,359.2,343.2,0.16,341.5,223,81.4,-3.5,-3.5,0.58,2.57,0.15,-0.02,89.4,7.06,92.1,16.19,-609.7,0.002,0.001,0.001
7/24/2020,10:50:33 AM,B1,,89.99999 °,179.99998 °,737.1,359.4,343.4,0.16,341.7,223,81.4,-3.5,-3.5,0.58,2.56,0.13,-0.03,89.3,7.06,92.1,16.19,-609.7,0.002,0.001,0.001
7/24/2020,10:50:33 AM,B1,,89.99999 °,179.99998 °,737.1,359.5,343.5,0.16,341.8,223,81.4,-3.5,-3.5,0.57,2.53,0.12,-0.03,89.3,7.05,92.1,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:34 AM,B1,,89.99999 °,179.99998 °,737.1,359.7,343.7,0.16,342,223,81.4,-3.5,-3.5,0.57,2.54,0.12,-0.03,89.2,7.05,92,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:34 AM,B1,,89.99999 °,179.99998 °,737.1,359.8,343.9,0.16,342.2,224,81.4,-3.5,-3.5,0.58,2.57,0.11,-0.04,89.1,7.04,91.9,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:34 AM,B1,,89.99999 °,179.99998 °,737,359.9,344,0.16,342.3,224,81.3,-3.5,-3.5,0.58,2.56,0.09,-0.05,89.1,7.04,91.8,16.19,-609.7,0.002,0.001,0.003
7/24/2020,10:50:34 AM,B1,,89.99999 °,179.99998 °,737,360,344.2,0.16,342.5,224,81.3,-3.5,-3.5,0.58,2.56,0.08,-0.06,89,7.03,91.8,16.19,-609.7,0.002,0.001,0.004
7/24/2020,10:50:35 AM,B1,,89.99999 °,179.99998 °,737,360.1,344.3,0.16,342.6,224,81.3,-3.5,-3.5,0.58,2.58,0.07,-0.06,88.9,7.03,91.7,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:35 AM,B1,,89.99999 °,179.99998 °,737,360.1,344.5,0.16,342.8,224,81.3,-3.5,-3.5,0.58,2.56,0.07,-0.07,88.9,7.03,91.7,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:35 AM,B1,,89.99999 °,179.99998 °,737,360.2,344.6,0.16,343,224,81.2,-3.5,-3.5,0.57,2.54,0.06,-0.07,88.8,7.02,91.6,16.19,-609.7,0.002,0.001,0.003
7/24/2020,10:50:35 AM,B1,,89.99999 °,179.99998 °,737,360.2,344.8,0.16,343.1,224,81.2,-3.5,-3.5,0.57,2.54,0.05,-0.08,88.8,7.02,91.5,16.19,-609.7,0.002,0.001,0.001
7/24/2020,10:50:36 AM,B1,,89.99999 °,179.99998 °,737,360.3,344.9,0.16,343.3,224,81.2,-3.5,-3.5,0.57,2.51,0.04,-0.08,88.7,7.02,91.5,16.19,-609.7,0.002,0.001,0.001
7/24/2020,10:50:36 AM,B1,,89.99999 °,179.99998 °,737,360.3,345,0.16,343.4,224,81.2,-3.5,-3.5,0.56,2.51,0.04,-0.09,88.6,7.01,91.4,16.19,-609.7,0.002,0.001,0.002
7/24/2020,10:50:36 AM,B1,,89.99999 °,179.99998 °,737,360.3,345.2,0.16,343.5,224,81.1,-3.4,-3.4,0.56,2.49,0.02,-0.1,88.6,7.01,91.3,16.19,-609.7,0.002,0.001,0.001
7/24/2020,10:50:36 AM,B1,,89.99999 °,179.99998 °,737,360.3,345.2,0.16,343.6,224,81.1,-3.4,-3.4,0.56,2.48,0.01,-0.11,88.5,7.01,91.3,16.19,-609.7,0.002,0.001,0.001
7/24/2020,10:50:37 AM,B1,,89.99999 °,179.99998 °,737,360.3,345.3,0.16,343.7,224,81.1,-3.4,-3.4,0.55,2.46,-0.01,-0.11,88.4,7,91.2,16.19,-609.7,0.002,0.001,0.003
7/24/2020,10:50:37 AM,B1,,89.99999 °,179.99998 °,737,360.3,345.4,0.16,343.8,225,81,-3.4,-3.4,0.54,2.42,-0.02,-0.12,88.4,7,91.2,16.19,-609.7,0.002,0.001,0.002
