doy,pond,site_type,site_id,p_foliosus,p_nodosus,depth_m,canopy_m,canopy_flag,biomass_g,biomass_flag,biomass_gm2,X,Y,Species
157,F,Biomass,F1,1,1,NA,NA,NA,1.5,NA,3.75,1,1,Both
157,F,Biomass,F2,1,1,NA,NA,NA,9.5,NA,23.75,2,1,Both
157,F,Biomass,F3,1,1,NA,NA,NA,4.5,NA,11.25,3,1,Both
157,F,Biomass,F4,1,1,NA,NA,NA,3.8,NA,9.5,1,2,Both
157,F,Biomass,F5,1,0,NA,NA,NA,7,NA,17.5,2,2,Submerged
157,F,Biomass,F6,1,1,NA,NA,NA,13.1,NA,32.75,3,2,Both
157,F,Biomass,F7,1,1,NA,NA,NA,18,NA,45,1,3,Both
157,F,Biomass,F8,1,0,NA,NA,NA,7.7,NA,19.25,2,3,Submerged
157,F,Biomass,F9,1,1,NA,NA,NA,9.9,NA,24.75,3,3,Both
157,F,Biomass,F10,1,1,NA,NA,NA,15.8,NA,39.5,1,4,Both
157,F,Biomass,F11,1,0,NA,NA,NA,4.7,NA,11.75,2,4,Submerged
157,F,Biomass,F12,1,1,NA,NA,NA,10.5,NA,26.25,3,4,Both
157,F,Biomass,F13,1,1,NA,NA,NA,1.5,NA,3.75,1,5,Both
157,F,Biomass,F14,1,0,NA,NA,NA,7.7,NA,19.25,2,5,Submerged
157,F,Biomass,F15,1,1,NA,NA,NA,4.9,NA,12.25,3,5,Both
157,F,Biomass,F16,0,1,NA,NA,NA,10.6,NA,26.5,1,6,Floating-Leaf
157,F,Biomass,F17,1,1,NA,NA,NA,19.6,NA,49,2,6,Both
157,F,Biomass,F18,1,1,NA,NA,NA,3.3,NA,8.25,3,6,Both
157,B,Biomass,B1,1,1,NA,NA,NA,0.9,NA,2.25,1,8,Both
157,B,Biomass,B2,1,1,NA,NA,NA,5.6,NA,14,2,8,Both
157,B,Biomass,B3,1,1,NA,NA,NA,2.1,NA,5.25,3,8,Both
157,B,Biomass,B4,0,1,NA,NA,NA,4.3,NA,10.75,1,9,Floating-Leaf
157,B,Biomass,B5,1,0,NA,NA,NA,20.6,NA,51.5,2,9,Submerged
157,B,Biomass,B6,0,1,NA,NA,NA,4.6,NA,11.5,3,9,Floating-Leaf
157,B,Biomass,B7,0,1,NA,NA,NA,1.8,NA,4.5,1,10,Floating-Leaf
157,B,Biomass,B8,1,0,NA,NA,NA,23.6,NA,59,2,10,Submerged
157,B,Biomass,B9,1,1,NA,NA,NA,3.6,NA,9,3,10,Both
157,B,Biomass,B10,1,1,NA,NA,NA,3.8,NA,9.5,1,11,Both
157,B,Biomass,B11,1,0,NA,NA,NA,26.2,NA,65.5,2,11,Submerged
157,B,Biomass,B12,0,1,NA,NA,NA,4,NA,10,3,11,Floating-Leaf
157,B,Biomass,B13,1,1,NA,NA,NA,2.2,NA,5.5,1,12,Both
157,B,Biomass,B14,1,0,NA,NA,NA,26.2,NA,65.5,2,12,Submerged
157,B,Biomass,B15,1,1,NA,NA,NA,4.1,NA,10.25,3,12,Both
157,B,Biomass,B16,0,1,NA,NA,NA,4.1,NA,10.25,1,13,Floating-Leaf
157,B,Biomass,B17,0,1,NA,NA,NA,4,NA,10,2,13,Floating-Leaf
157,B,Biomass,B18,0,1,NA,NA,NA,2.1,NA,5.25,3,13,Floating-Leaf
171,F,Biomass,F1,1,1,NA,NA,NA,3.6,NA,9,5,1,Both
171,F,Biomass,F2,1,0,NA,NA,NA,9.1,NA,22.75,6,1,Submerged
171,F,Biomass,F3,1,1,NA,NA,NA,3.2,NA,8,7,1,Both
171,F,Biomass,F4,1,1,NA,NA,NA,31.2,NA,78,5,2,Both
171,F,Biomass,F5,1,0,NA,NA,NA,39.4,NA,98.5,6,2,Submerged
171,F,Biomass,F6,1,1,NA,NA,NA,18.8,NA,47,7,2,Both
171,F,Biomass,F7,1,1,NA,NA,NA,31,NA,77.5,5,3,Both
171,F,Biomass,F8,1,0,NA,NA,NA,32.3,NA,80.75,6,3,Submerged
171,F,Biomass,F9,1,1,NA,NA,NA,8.4,NA,21,7,3,Both
171,F,Biomass,F10,1,1,NA,NA,NA,28.3,NA,70.75,5,4,Both
171,F,Biomass,F11,1,0,NA,NA,NA,13.6,NA,34,6,4,Submerged
171,F,Biomass,F12,1,0,NA,NA,NA,14.7,NA,36.75,7,4,Submerged
171,F,Biomass,F13,1,1,NA,NA,NA,9.9,NA,24.75,5,5,Both
171,F,Biomass,F14,1,0,NA,NA,NA,23,NA,57.5,6,5,Submerged
171,F,Biomass,F15,0,1,NA,NA,NA,28.1,NA,70.25,7,5,Floating-Leaf
171,F,Biomass,F16,0,1,NA,NA,NA,59.2,NA,148,5,6,Floating-Leaf
171,F,Biomass,F17,0,1,NA,NA,NA,38.1,NA,95.25,6,6,Floating-Leaf
171,F,Biomass,F18,0,1,NA,NA,NA,27.8,NA,69.5,7,6,Floating-Leaf
171,B,Biomass,B1,0,1,NA,NA,NA,11.6,NA,29,5,8,Floating-Leaf
171,B,Biomass,B2,0,1,NA,NA,NA,20.3,NA,50.75,6,8,Floating-Leaf
171,B,Biomass,B3,0,1,NA,NA,NA,35,NA,87.5,7,8,Floating-Leaf
171,B,Biomass,B4,0,1,NA,NA,NA,10.7,NA,26.75,5,9,Floating-Leaf
171,B,Biomass,B5,1,0,NA,NA,NA,107.8,NA,269.5,6,9,Submerged
171,B,Biomass,B6,0,1,NA,NA,NA,13,NA,32.5,7,9,Floating-Leaf
171,B,Biomass,B7,0,1,NA,NA,NA,19.3,NA,48.25,5,10,Floating-Leaf
171,B,Biomass,B8,1,0,NA,NA,NA,64.8,NA,162,6,10,Submerged
171,B,Biomass,B9,0,1,NA,NA,NA,8.6,NA,21.5,7,10,Floating-Leaf
171,B,Biomass,B10,0,1,NA,NA,NA,2,NA,5,5,11,Floating-Leaf
171,B,Biomass,B11,1,0,NA,NA,NA,37.9,NA,94.75,6,11,Submerged
171,B,Biomass,B12,1,0,NA,NA,NA,13.5,NA,33.75,7,11,Submerged
171,B,Biomass,B13,0,1,NA,NA,NA,9.5,NA,23.75,5,12,Floating-Leaf
171,B,Biomass,B14,1,1,NA,NA,NA,42,NA,105,6,12,Both
171,B,Biomass,B15,0,1,NA,NA,NA,16.8,NA,42,7,12,Floating-Leaf
171,B,Biomass,B16,0,1,NA,NA,NA,8.7,NA,21.75,5,13,Floating-Leaf
171,B,Biomass,B17,0,1,NA,NA,NA,20.6,NA,51.5,6,13,Floating-Leaf
171,B,Biomass,B18,0,1,NA,NA,NA,9.2,NA,23,7,13,Floating-Leaf
186,F,Biomass,F1,1,1,NA,NA,NA,17.6,NA,44,9,1,Both
186,F,Biomass,F2,1,1,NA,NA,NA,39,NA,97.5,10,1,Both
186,F,Biomass,F3,1,1,NA,NA,NA,19.5,NA,48.75,11,1,Both
186,F,Biomass,F4,1,1,NA,NA,NA,19.7,NA,49.25,9,2,Both
186,F,Biomass,F5,1,0,NA,NA,NA,50.3,NA,125.75,10,2,Submerged
186,F,Biomass,F6,0,1,NA,NA,NA,37.8,NA,94.5,11,2,Floating-Leaf
186,F,Biomass,F7,1,1,NA,NA,NA,30.5,NA,76.25,9,3,Both
186,F,Biomass,F8,1,0,NA,NA,NA,44.5,NA,111.25,10,3,Submerged
186,F,Biomass,F9,1,1,NA,NA,NA,24.7,NA,61.75,11,3,Both
186,F,Biomass,F10,1,1,NA,NA,NA,18,NA,45,9,4,Both
186,F,Biomass,F11,1,0,NA,NA,NA,28.4,NA,71,10,4,Submerged
186,F,Biomass,F12,1,1,NA,NA,NA,26.9,NA,67.25,11,4,Both
186,F,Biomass,F13,1,1,NA,NA,NA,10.8,NA,27,9,5,Both
186,F,Biomass,F14,1,0,NA,NA,NA,24.3,NA,60.75,10,5,Submerged
186,F,Biomass,F15,1,1,NA,NA,NA,17.5,NA,43.75,11,5,Both
186,F,Biomass,F16,0,1,NA,NA,NA,38.5,NA,96.25,9,6,Floating-Leaf
186,F,Biomass,F17,1,1,NA,NA,NA,37.8,NA,94.5,10,6,Both
186,F,Biomass,F18,0,1,NA,NA,NA,28.3,NA,70.75,11,6,Floating-Leaf
186,B,Biomass,B1,0,1,NA,NA,NA,28.5,NA,71.25,9,8,Floating-Leaf
186,B,Biomass,B2,0,1,NA,NA,NA,34.4,NA,86,10,8,Floating-Leaf
186,B,Biomass,B3,0,1,NA,NA,NA,42.8,NA,107,11,8,Floating-Leaf
186,B,Biomass,B4,0,1,NA,NA,NA,49.3,NA,123.25,9,9,Floating-Leaf
186,B,Biomass,B5,1,0,NA,NA,NA,0.8,NA,2,10,9,Submerged
186,B,Biomass,B6,0,1,NA,NA,NA,53,NA,132.5,11,9,Floating-Leaf
186,B,Biomass,B7,0,1,NA,NA,NA,31.4,NA,78.5,9,10,Floating-Leaf
186,B,Biomass,B8,1,0,NA,NA,NA,1.5,NA,3.75,10,10,Submerged
186,B,Biomass,B9,0,1,NA,NA,NA,18.5,NA,46.25,11,10,Floating-Leaf
186,B,Biomass,B10,0,1,NA,NA,NA,19.4,NA,48.5,9,11,Floating-Leaf
186,B,Biomass,B11,1,0,NA,NA,NA,45.8,NA,114.5,10,11,Submerged
186,B,Biomass,B12,0,1,NA,NA,NA,10.1,NA,25.25,11,11,Floating-Leaf
186,B,Biomass,B13,0,1,NA,NA,NA,23.2,NA,58,9,12,Floating-Leaf
186,B,Biomass,B14,1,1,NA,NA,NA,39.7,NA,99.25,10,12,Both
186,B,Biomass,B15,0,1,NA,NA,NA,35.8,NA,89.5,11,12,Floating-Leaf
186,B,Biomass,B16,0,1,NA,NA,NA,25.5,NA,63.75,9,13,Floating-Leaf
186,B,Biomass,B17,0,1,NA,NA,NA,34.6,NA,86.5,10,13,Floating-Leaf
186,B,Biomass,B18,0,1,NA,NA,NA,43.9,NA,109.75,11,13,Floating-Leaf
199,F,Biomass,F1,1,0,NA,NA,NA,6.9,NA,17.25,13,1,Submerged
199,F,Biomass,F2,1,0,NA,NA,NA,48.3,NA,120.75,14,1,Submerged
199,F,Biomass,F3,1,1,NA,NA,NA,14.6,NA,36.5,15,1,Both
199,F,Biomass,F4,1,1,NA,NA,NA,38.1,NA,95.25,13,2,Both
199,F,Biomass,F5,1,0,NA,NA,NA,18.2,NA,45.5,14,2,Submerged
199,F,Biomass,F6,0,1,NA,NA,NA,53.7,NA,134.25,15,2,Floating-Leaf
199,F,Biomass,F7,0,1,NA,NA,NA,12.9,NA,32.25,13,3,Floating-Leaf
199,F,Biomass,F8,1,0,NA,NA,NA,45.7,NA,114.25,14,3,Submerged
199,F,Biomass,F9,1,1,NA,NA,NA,43.1,NA,107.75,15,3,Both
199,F,Biomass,F10,1,1,NA,NA,NA,42.4,NA,106,13,4,Both
199,F,Biomass,F11,1,0,NA,NA,NA,78.2,NA,195.5,14,4,Submerged
199,F,Biomass,F12,1,1,NA,NA,NA,32.2,NA,80.5,15,4,Both
199,F,Biomass,F13,1,1,NA,NA,NA,12.3,NA,30.75,13,5,Both
199,F,Biomass,F14,1,0,NA,NA,NA,41.3,NA,103.25,14,5,Submerged
199,F,Biomass,F15,1,1,NA,NA,NA,25,NA,62.5,15,5,Both
199,F,Biomass,F16,0,1,NA,NA,NA,33.4,NA,83.5,13,6,Floating-Leaf
199,F,Biomass,F17,0,1,NA,NA,NA,64.6,NA,161.5,14,6,Floating-Leaf
199,F,Biomass,F18,0,1,NA,NA,NA,50.6,NA,126.5,15,6,Floating-Leaf
199,B,Biomass,B1,0,1,NA,NA,NA,37.2,NA,93,13,8,Floating-Leaf
199,B,Biomass,B2,1,1,NA,NA,NA,27,NA,67.5,14,8,Both
199,B,Biomass,B3,0,1,NA,NA,NA,70.5,NA,176.25,15,8,Floating-Leaf
199,B,Biomass,B4,0,1,NA,NA,NA,38,NA,95,13,9,Floating-Leaf
199,B,Biomass,B5,0,0,NA,NA,NA,0,b,0,14,9,Bare Sediment
199,B,Biomass,B6,1,1,NA,NA,NA,29.4,NA,73.5,15,9,Both
199,B,Biomass,B7,1,1,NA,NA,NA,17.2,NA,43,13,10,Both
199,B,Biomass,B8,1,0,NA,NA,NA,0.5,NA,1.25,14,10,Submerged
199,B,Biomass,B9,0,1,NA,NA,NA,20.1,NA,50.25,15,10,Floating-Leaf
199,B,Biomass,B10,1,1,NA,NA,NA,36.1,NA,90.25,13,11,Both
199,B,Biomass,B11,1,0,NA,NA,NA,1.5,NA,3.75,14,11,Submerged
199,B,Biomass,B12,0,1,NA,NA,NA,25.7,NA,64.25,15,11,Floating-Leaf
199,B,Biomass,B13,0,1,NA,NA,NA,39.2,NA,98,13,12,Floating-Leaf
199,B,Biomass,B14,1,1,NA,NA,NA,13.9,NA,34.75,14,12,Both
199,B,Biomass,B15,0,1,NA,NA,NA,19.3,NA,48.25,15,12,Floating-Leaf
199,B,Biomass,B16,0,1,NA,NA,NA,22.2,NA,55.5,13,13,Floating-Leaf
199,B,Biomass,B17,0,1,NA,NA,NA,49.3,NA,123.25,14,13,Floating-Leaf
199,B,Biomass,B18,0,1,NA,NA,NA,8.8,NA,22,15,13,Floating-Leaf
213,F,Biomass,F1,1,1,NA,NA,NA,75.6,NA,189,17,1,Both
213,F,Biomass,F2,1,0,NA,NA,NA,6.4,NA,16,18,1,Submerged
213,F,Biomass,F3,1,1,NA,NA,NA,16.1,NA,40.25,19,1,Both
213,F,Biomass,F4,1,1,NA,NA,NA,34.6,NA,86.5,17,2,Both
213,F,Biomass,F5,1,0,NA,NA,NA,7,NA,17.5,18,2,Submerged
213,F,Biomass,F6,1,1,NA,NA,NA,85.5,NA,213.75,19,2,Both
213,F,Biomass,F7,1,1,NA,NA,NA,45.3,NA,113.25,17,3,Both
213,F,Biomass,F8,1,0,NA,NA,NA,31.8,NA,79.5,18,3,Submerged
213,F,Biomass,F9,1,0,NA,NA,NA,34,NA,85,19,3,Submerged
213,F,Biomass,F10,1,1,NA,NA,NA,22,NA,55,17,4,Both
213,F,Biomass,F11,1,0,NA,NA,NA,31.1,NA,77.75,18,4,Submerged
213,F,Biomass,F12,1,1,NA,NA,NA,63.9,NA,159.75,19,4,Both
213,F,Biomass,F13,1,1,NA,NA,NA,32.9,NA,82.25,17,5,Both
213,F,Biomass,F14,1,0,NA,NA,NA,35.2,NA,88,18,5,Submerged
213,F,Biomass,F15,1,1,NA,NA,NA,47.3,NA,118.25,19,5,Both
213,F,Biomass,F16,0,1,NA,NA,NA,54.7,NA,136.75,17,6,Floating-Leaf
213,F,Biomass,F17,0,1,NA,NA,NA,78.9,NA,197.25,18,6,Floating-Leaf
213,F,Biomass,F18,1,1,NA,NA,NA,32.9,NA,82.25,19,6,Both
213,B,Biomass,B1,0,1,NA,NA,NA,51.4,NA,128.5,17,8,Floating-Leaf
213,B,Biomass,B2,1,1,NA,NA,NA,32,NA,80,18,8,Both
213,B,Biomass,B3,0,1,NA,NA,NA,47.4,NA,118.5,19,8,Floating-Leaf
213,B,Biomass,B4,1,1,NA,NA,NA,53.4,NA,133.5,17,9,Both
213,B,Biomass,B5,0,0,NA,NA,NA,0,b,0,18,9,Bare Sediment
213,B,Biomass,B6,0,1,NA,NA,NA,56.8,NA,142,19,9,Floating-Leaf
213,B,Biomass,B7,1,1,NA,NA,NA,38.5,NA,96.25,17,10,Both
213,B,Biomass,B8,0,0,NA,NA,NA,0,b,0,18,10,Bare Sediment
213,B,Biomass,B9,1,1,NA,NA,NA,11.8,NA,29.5,19,10,Both
213,B,Biomass,B10,1,1,NA,NA,NA,58.5,NA,146.25,17,11,Both
213,B,Biomass,B11,0,0,NA,NA,NA,0,b,0,18,11,Bare Sediment
213,B,Biomass,B12,1,1,NA,NA,NA,13.1,NA,32.75,19,11,Both
213,B,Biomass,B13,1,1,NA,NA,NA,32.2,NA,80.5,17,12,Both
213,B,Biomass,B14,1,0,NA,NA,NA,12.9,NA,32.25,18,12,Submerged
213,B,Biomass,B15,1,1,NA,NA,NA,36.4,NA,91,19,12,Both
213,B,Biomass,B16,0,1,NA,NA,NA,107.8,NA,269.5,17,13,Floating-Leaf
213,B,Biomass,B17,0,1,NA,NA,NA,62.7,NA,156.75,18,13,Floating-Leaf
213,B,Biomass,B18,0,1,NA,NA,NA,27.7,NA,69.25,19,13,Floating-Leaf
228,F,Biomass,F1,1,1,NA,NA,NA,5.3,NA,13.25,21,1,Both
228,F,Biomass,F2,1,0,NA,NA,NA,19.5,NA,48.75,22,1,Submerged
228,F,Biomass,F3,1,1,NA,NA,NA,22.9,NA,57.25,23,1,Both
228,F,Biomass,F4,1,1,NA,NA,NA,5.3,NA,13.25,21,2,Both
228,F,Biomass,F5,0,0,NA,NA,NA,0,b,0,22,2,Bare Sediment
228,F,Biomass,F6,0,1,NA,NA,NA,38.1,NA,95.25,23,2,Floating-Leaf
228,F,Biomass,F7,1,1,NA,NA,NA,21.3,NA,53.25,21,3,Both
228,F,Biomass,F8,0,0,NA,NA,NA,0,b,0,22,3,Bare Sediment
228,F,Biomass,F9,1,1,NA,NA,NA,69.4,NA,173.5,23,3,Both
228,F,Biomass,F10,1,1,NA,NA,NA,11.7,NA,29.25,21,4,Both
228,F,Biomass,F11,0,0,NA,NA,NA,0,b,0,22,4,Bare Sediment
228,F,Biomass,F12,1,1,NA,NA,NA,56,NA,140,23,4,Both
228,F,Biomass,F13,1,1,NA,NA,NA,31.4,NA,78.5,21,5,Both
228,F,Biomass,F14,1,1,NA,NA,NA,34.5,NA,86.25,22,5,Both
228,F,Biomass,F15,1,1,NA,NA,NA,66.3,NA,165.75,23,5,Both
228,F,Biomass,F16,1,1,NA,NA,NA,26.9,NA,67.25,21,6,Both
228,F,Biomass,F17,1,1,NA,NA,NA,18.6,NA,46.5,22,6,Both
228,F,Biomass,F18,1,1,NA,NA,NA,40.5,NA,101.25,23,6,Both
228,B,Biomass,B1,0,1,NA,NA,NA,41.6,NA,104,21,8,Floating-Leaf
228,B,Biomass,B2,0,1,NA,NA,NA,63.7,NA,159.25,22,8,Floating-Leaf
228,B,Biomass,B3,0,1,NA,NA,NA,61.5,NA,153.75,23,8,Floating-Leaf
228,B,Biomass,B4,1,1,NA,NA,NA,46.9,NA,117.25,21,9,Both
228,B,Biomass,B5,0,0,NA,NA,NA,0,b,0,22,9,Bare Sediment
228,B,Biomass,B6,0,1,NA,NA,NA,29.4,NA,73.5,23,9,Floating-Leaf
228,B,Biomass,B7,0,1,NA,NA,NA,40.3,NA,100.75,21,10,Floating-Leaf
228,B,Biomass,B8,0,0,NA,NA,NA,0,b,0,22,10,Bare Sediment
228,B,Biomass,B9,1,1,NA,NA,NA,3.9,NA,9.75,23,10,Both
228,B,Biomass,B10,1,1,NA,NA,NA,65.9,NA,164.75,21,11,Both
228,B,Biomass,B11,0,0,NA,NA,NA,0,b,0,22,11,Bare Sediment
228,B,Biomass,B12,0,1,NA,NA,NA,25.7,NA,64.25,23,11,Floating-Leaf
228,B,Biomass,B13,1,1,NA,NA,NA,27.4,NA,68.5,21,12,Both
228,B,Biomass,B14,0,1,NA,NA,NA,0.8,NA,2,22,12,Floating-Leaf
228,B,Biomass,B15,0,1,NA,NA,NA,20.4,NA,51,23,12,Floating-Leaf
228,B,Biomass,B16,0,1,NA,NA,NA,51.8,NA,129.5,21,13,Floating-Leaf
228,B,Biomass,B17,0,1,NA,NA,NA,48.7,NA,121.75,22,13,Floating-Leaf
228,B,Biomass,B18,0,1,NA,NA,NA,39,NA,97.5,23,13,Floating-Leaf
