pond,datetime,date,time,temp,do,dosat,doy_frac,doy
A,05/09/20 15:15,05/09/20,15:15,16.109,12.347,125.413812,130.6354,130
A,05/09/20 15:45,05/09/20,15:45,16.152,12.409,126.158393,130.6563,130
A,05/09/20 16:15,05/09/20,16:15,16.229,12.441,126.689918,130.6771,130
A,05/09/20 16:45,05/09/20,16:45,16.331,12.481,127.371366,130.6979,130
A,05/09/20 17:15,05/09/20,17:15,16.348,12.519,127.805002,130.7188,130
A,05/09/20 17:45,05/09/20,17:45,16.39,12.631,129.062668,130.7396,130
A,05/09/20 18:15,05/09/20,18:15,16.424,12.61,128.940459,130.7604,130
A,05/09/20 18:45,05/09/20,18:45,16.526,12.584,128.95121,130.7813,130
A,05/09/20 19:15,05/09/20,19:15,16.577,12.627,129.530663,130.8021,130
A,05/09/20 19:45,05/09/20,19:45,16.611,12.669,130.05438,130.8229,130
A,05/09/20 20:15,05/09/20,20:15,16.569,12.689,130.144788,130.8438,130
A,05/09/20 20:45,05/09/20,20:45,16.569,12.694,130.196071,130.8646,130
A,05/09/20 21:15,05/09/20,21:15,16.56,12.722,130.458569,130.8854,130
A,05/09/20 21:45,05/09/20,21:45,16.552,12.708,130.293089,130.9063,130
A,05/09/20 22:15,05/09/20,22:15,16.594,13.464,138.166149,130.9271,130
A,05/09/20 22:45,05/09/20,22:45,16.475,13.878,142.058591,130.9479,130
A,05/09/20 23:15,05/09/20,23:15,16.322,13.827,141.080793,130.9688,130
A,05/09/20 23:45,05/09/20,23:45,16.135,13.67,138.928573,130.9896,130
A,05/10/20 0:15,05/10/20,0:15,16.007,13.563,137.467649,131.0104,131
A,05/10/20 0:45,05/10/20,0:45,15.845,13.49,136.257908,131.0313,131
A,05/10/20 1:15,05/10/20,1:15,15.674,13.441,135.269178,131.0521,131
A,05/10/20 1:45,05/10/20,1:45,15.546,13.404,134.528442,131.0729,131
A,05/10/20 2:15,05/10/20,2:15,15.451,13.365,133.864548,131.0938,131
A,05/10/20 2:45,05/10/20,2:45,15.366,13.348,133.450889,131.1146,131
A,05/10/20 3:15,05/10/20,3:15,15.263,13.316,132.836861,131.1354,131
A,05/10/20 3:45,05/10/20,3:45,15.203,13.271,132.217274,131.1563,131
A,05/10/20 4:15,05/10/20,4:15,15.143,13.228,131.618789,131.1771,131
A,05/10/20 4:45,05/10/20,4:45,15.057,13.175,130.84871,131.1979,131
A,05/10/20 5:15,05/10/20,5:15,14.971,13.117,130.03111,131.2188,131
A,05/10/20 5:45,05/10/20,5:45,14.902,13.051,129.184066,131.2396,131
A,05/10/20 6:15,05/10/20,6:15,14.816,12.982,128.262159,131.2604,131
A,05/10/20 6:45,05/10/20,6:45,14.73,12.88,127.01745,131.2813,131
A,05/10/20 7:15,05/10/20,7:15,14.678,12.809,126.174839,131.3021,131
A,05/10/20 7:45,05/10/20,7:45,14.652,12.731,125.335728,131.3229,131
A,05/10/20 8:15,05/10/20,8:15,14.635,12.691,124.895807,131.3438,131
A,05/10/20 8:45,05/10/20,8:45,14.652,12.633,124.370926,131.3646,131
A,05/10/20 9:15,05/10/20,9:15,14.669,12.633,124.416843,131.3854,131
A,05/10/20 9:45,05/10/20,9:45,14.738,12.684,125.106278,131.4063,131
A,05/10/20 10:15,05/10/20,10:15,14.833,12.661,125.136732,131.4271,131
A,05/10/20 10:45,05/10/20,10:45,14.867,12.653,125.149721,131.4479,131
A,05/10/20 11:15,05/10/20,11:15,14.945,12.616,124.994384,131.4688,131
A,05/10/20 11:45,05/10/20,11:45,14.979,12.751,126.424729,131.4896,131
A,05/10/20 12:15,05/10/20,12:15,15.005,12.626,125.255659,131.5104,131
A,05/10/20 12:45,05/10/20,12:45,14.997,12.706,126.027529,131.5313,131
A,05/10/20 13:15,05/10/20,13:15,15.031,12.663,125.693222,131.5521,131
A,05/10/20 13:45,05/10/20,13:45,15.022,12.781,126.839858,131.5729,131
